format: "MOSI (MISO)"

0x34 (0xFF)
0x03 (0xFF)

0x50 (0xFF)
0x00 (0x00)
0x00 (0x00)
0x00 (0x00)
0x00 (0x00)

0x34 (0x00)
0x08 (0x00)

0x34 (0xFF)
0x03 (0xFF)

0x02 (0xFF)
0x01 (0xFF)
0x00 (0xFF)
0x01 (0xFF)
0xC9 (0xFF)
0xC3 (0xFF)
0x80 (0xFF)

0x11 (0xFF)
0x00 (0xFF)
0x08 (0xFF)
0x00 (0xFF)
0x40 (0xFF)
0x71 (0xFF)
0x0A (0xFF)
0x61 (0xFF)
0x06 (0xFF)
0x08 (0xFF)
0x00 (0xFF)
0x62 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x02 (0xFF)
0x00 (0xFF)
0x03 (0xFF)
0x80 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x01 (0xFF)
0x19 (0xFF)
0x80 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x01 (0xFF)
0x4C (0xFF)
0x12 (0xFF)

0x11 (0xFF)
0x40 (0xFF)
0x06 (0xFF)
0x00 (0xFF)
0x3B (0xFF)
0x0C (0xFF)
0xE8 (0xFF)
0x1B (0xFF)
0x0D (0xFF)
0xA7 (0xFF)

0x11 (0xFF)
0x10 (0xFF)
0x08 (0xFF)
0x01 (0xFF)
0x10 (0xFF)
0x00 (0xFF)
0x0F (0xFF)
0x3E (0xFF)
0x00 (0xFF)
0x00 (0xFF)
0x00 (0xFF)
0x00 (0xFF)

0x11 (0xFF)
0x11 (0xFF)
0x03 (0xFF)
0x00 (0xFF)
0x01 (0xFF)
0x4B (0xFF)
0xD4 (0xFF)

0x11 (0xFF)
0x12 (0xFF)
0x01 (0xFF)
0x00 (0xFF)
0x85 (0xFF)

0x11 (0xFF)
0x12 (0xFF)
0x01 (0xFF)
0x06 (0xFF)
0x0A (0xFF)

0x11 (0xFF)
0x12 (0xFF)
0x03 (0xFF)
0x08 (0xFF)
0x0A (0xFF)
0x01 (0xFF)
0x00 (0xFF)

0x11 (0xFF)
0x12 (0xFF)
0x08 (0xFF)
0x0D (0xFF)
0x00 (0xFF)
0x01 (0xFF)
0x01 (0xFF)
0x82 (0xFF)
0x00 (0xFF)
0x3F (0xFF)
0x01 (0xFF)
0x0A (0xFF)

0x13 (0xFF)
0x07 (0xFF)
0x00 (0xFF)
0x1A (0xFF)
0x18 (0xFF)

0x11 (0xFF)
0x02 (0xFF)
0x04 (0xFF)
0x00 (0xFF)
0x03 (0xFF)
0x0A (0xFF)
0x09 (0xFF)
0x07 (0xFF)

0x11 (0xFF)
0x01 (0xFF)
0x02 (0xFF)
0x00 (0xFF)
0x01 (0xFF)
0x18 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x07 (0xFF)
0x2C (0xFF)
0x04 (0xFF)
0x47 (0xFF)
0x82 (0xFF)
0x5D (0xFF)
0x03 (0xFF)
0xC7 (0xFF)
0xC0 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x01 (0xFF)
0x35 (0xFF)
0xE2 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x03 (0xFF)
0x38 (0xFF)
0x21 (0xFF)
0x15 (0xFF)
0x15 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x08 (0xFF)
0x22 (0xFF)
0x00 (0xFF)
0x90 (0xFF)
0x03 (0xFF)
0x12 (0xFF)
0x6F (0xFF)
0x01 (0xFF)
0xC7 (0xFF)
0x02 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x02 (0xFF)
0x2A (0xFF)
0xC2 (0xFF)
0x00 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x02 (0xFF)
0x1E (0xFF)
0x00 (0xFF)
0x30 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x08 (0xFF)
0x40 (0xFF)
0x29 (0xFF)
0x0C (0xFF)
0xA4 (0xFF)
0x02 (0xFF)
0xD6 (0xFF)
0x83 (0xFF)
0x01 (0xFF)
0x8E (0xFF)

0x11 (0xFF)
0x23 (0xFF)
0x08 (0xFF)
0x00 (0xFF)
0x39 (0xFF)
0x04 (0xFF)
0x0B (0xFF)
0x05 (0xFF)
0x04 (0xFF)
0x01 (0xFF)
0x03 (0xFF)
0x05 (0xFF)

0x11 (0xFF)
0x20 (0xFF)
0x01 (0xFF)
0x4E (0xFF)
0x21 (0xFF)

0x50 (0xFF)
0x00 (0x02)
0x00 (0x00)
0x00 (0x03)
0x00 (0x14)

0x15 (0x00)
0x03 (0x00)

0x32 (0xFF)
0x00 (0xFF)
0x00 (0xFF)
0x00 (0xFF)
0x00 (0xFF)
0x00 (0xFF)
0x00 (0xFF)
0x00 (0xFF)

0x50 (0xFF)
0x00 (0x02)
0x00 (0x00)
0x00 (0x08)
0x00 (0x14)
^ repeats every 1s for at least 15s
